Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIIHJN,P-192994,a1e4J000000CKGoQAO,a0i4J0000023SbxQAE,NONE,8/6/2019,Nokia Compact,,10/2/2019,,10/2/2019,9/6/2019,,7.0 COMPLETED (10GB),BTWD207557
PX71-SG-CKIGKIP,P-193045,a1e4J000000CKGpQAO,a0i4J0000023Sd6QAE,NONE,5/7/2020,Nokia Compact,,8/27/2020,,8/27/2020,12/7/2020,,7.0 COMPLETED (10GB),BTWD209574
PX71-SG-CKJHOKP,P-193046,a1e4J000000CKGqQAO,a0i4J0000023Sd7QAE,,6/1/2022,Nokia Compact,,3/25/2024,,,12/7/2020,,7.0 COMPLETED (10GB),BTWD214051
PX71-SG-CKIGKIO,P-193047,a1e4J000000CKGrQAO,a0i4J0000023Sd8QAE,NONE,4/16/2020,Nokia Compact,,9/4/2020,,9/4/2020,12/7/2020,,7.0 COMPLETED (10GB),BTWD209410
PX71-SG-CKIHINJ,P-193048,a1e4J000000CKGsQAO,a0i4J0000023Sd9QAE,NONE,5/18/2020,Huawei,,7/20/2021,,7/20/2021,5/12/2021,,7.0 COMPLETED (10GB),BTWD209636
,P-193049,a1e4J000000CKGtQAO,a0i4J0000023SdAQAU,,,,,,,,,,1.3 CRF TO BE SUBMITTED (Fluid) (10GB),
PX71-SG-CKIGNLQ,P-193050,a1e4J000000CKGuQAO,a0i4J0000023SdBQAU,NONE,5/7/2020,Huawei,,7/31/2020,,1/16/2021,7/14/2020,,7.0 COMPLETED (10GB),BTWD209577
PX71-SG-CKJIJLM,P-193051,a1e4J000000CKGvQAO,a0i4J0000023SdCQAU,,7/26/2022,Nokia Small,,1/13/2023,,,7/14/2020,,7.0 COMPLETED (10GB),BTWD214415
PX71-SG-CKIGNKN,P-193052,a1e4J000000CKGwQAO,a0i4J0000023SdDQAU,NONE,5/7/2020,Nokia Compact,,8/21/2020,,11/5/2020,7/14/2020,,7.0 COMPLETED (10GB),BTWD209568
PX71-SG-CKIHHKN,P-193053,a1e4J000000CKGxQAO,a0i4J0000023SdEQAU,NONE,6/24/2020,Huawei,,9/22/2020,,12/15/2020,7/14/2020,,7.0 COMPLETED (10GB),BTWD210263
